#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
P,xorg,"Xorg X."
P,xorg-server,"Xorg X server."
P,xorg-xwininfo,"Command-line utility to print information about windows on an X server."
P,xorg-xinit,"X.Org initialisation program."
P,xorg-xprop,"Property displayer for X."
P,xorg-xbacklight,"RandR-based backlight control application."
P,xorg-xdpyinfo,"Display information utility for X."
P,xcompmgr,"Composite Window-effects manager for X.org."
P,xcape,"Configure modifier keys to act as other keys when pressed and released on their own."
P,xclip,"Command line interface to the X11 clipboard."
P,xdotool,"Command-line X11 automation tool."
P,xwallpaper,"Wallpaper setting utility for X."
P,refind,"refind"
P,archlinux-keyring,"arch keyring."
P,ttf-fira-code,"Monospaced font with programming ligatures."
P,noto-fonts-emoji,"Google Noto emoji fonts."
P,ttf-nerd-fonts-symbols,"High number of extra glyphs from popular 'iconic fonts' (2048-em)."
P,arandr,"Provide a simple visual front end for XRandR 1.2.."
P,maim,"Utility to take a screenshot using imlib2."
P,gnome-keyring,"Stores passwords and encryption keys."
P,dunst,"Customizable and lightweight notification-daemon."
P,bc,"An arbitrary precision calculator language."
P,libnotify,"Library for sending desktop notifications."
P,dosfstools,"DOS filesystem utilities."
P,ntfs-3g,"NTFS filesystem driver and utilities."
P,exfat-utils,"Utilities for exFAT file system."
P,unrar,"The RAR uncompression program."
P,unzip,"For extracting and viewing files in .zip archives."
P,moreutils,"Is a collection of useful unix tools."
P,atool,"Manages and gives information about archives."
P,sxiv,"	Simple X Image Viewer."
P,ffmpeg,"Complete solution to record, convert and stream audio and video."
P,mpd,"Flexible, powerful, server-side application for playing music."
P,mpc,"Minimalist command line interface to MPD."
P,mpv,"A free, open source, and cross-platform media player."
P,man-db,"A utility for reading man pages."
P,ncmpcpp,"A ncurses interface for music with multiple formats and a powerful tag editor."
P,newsboat,"An RSS/Atom feed reader for text terminals."
P,pipewire,"Is the audio system."
P,pipewire-pulse,"Gives pipewire compatibility with PulseAudio programs."
P,pulsemixer,"Is an audio controller."
P,pamixer,"Is a command-line audio interface."
P,unclutter,"Hides an inactive mouse."
P,youtube-dl,"Can download any YouTube video (or playlist or channel) when given the link."
P,zathura,"Is a pdf viewer with vim-like bindings."
P,zathura-pdf-mupdf,"Allows mupdf pdf compatibility in zathura."
P,poppler,"<anipulates .pdfs and gives .pdf previews and other .pdf functions."
P,mediainfo,"Shows audio and video information."
P,fzf,"Is a fuzzy finder tool."
P,highlight,"Can highlight code output."
P,socat,"Is a utility which establishes two byte streams and transfers data between them."
P,vim,"vim, just to have it."
P,neovim,"vim on steroids."
P,code,"The Open Source build of Visual Studio Code (vscode) editor."
P,google-chrome,"Google chrome web browser."
P,docker,"Pack, ship and run any application as a lightweight container."
P,ranger,"Simple, vim-like file manager."
P,dolphin,"KDE File Manager."
P,dbeaver,"Free universal SQL Client for developers and database administrators (community edition)."
P,libreoffice-fresh,"LibreOffice branch which contains new features and program enhancements."
P,nvidia,"NVIDIA drivers for linux"
P,nvidia-utils,"	NVIDIA drivers utilities."
P,nvidia-settings,"Tool for configuring the NVIDIA graphics driver."
P,efibootmgr,"Linux user-space application to modify the EFI Boot Manager."
P,networkmanager,"Network connection manager and user applications."
P,network-manager-applet,"Applet for managing network connections."
P,dialog,"A tool to display dialog boxes from shell scripts."
P,wpa_supplicant,"A utility providing key negotiation for WPA wireless networks."
P,wireless_tools,"wireless tools"
P,mtools,"A collection of utilities to access MS-DOS disks."
P,reflector,"A Python 3 module and script to retrieve and filter the latest Pacman mirror list."
P,avahi,"Service Discovery for Linux using mDNS/DNS-SD -- compatible with Bonjour."
P,xdg-user-dirs,"Manage user directories like ~/Desktop and ~/Music."
P,xdg-utils,"Command line tools that assist applications with a variety of desktop integration tasks."
P,nfs-utils,"Support programs for Network File Systems."
P,inetutils,"A collection of common network programs."
P,bluez,"Daemons for the bluetooth protocol stack."
P,bluez-utils,"	Development and debugging utilities for the bluetooth protocol stack."
P,cups,"The CUPS Printing System - daemon package."
P,openssh,"Premier connectivity tool for remote login with the SSH protocol."
P,rsync,"A fast and versatile file copying tool for remote and local files."
P,acpi,"Client for battery, power, and thermal readings."
P,acpi_call,"A linux kernel module that enables calls to ACPI methods through /proc/acpi/call."
P,acpid,"A daemon for delivering ACPI power management events with netlink support."
P,tlp,"Linux Advanced Power Management."
P,virtualbox,"Powerful virtualization for enterprise as well as home use."
P,bridge-utils,"Utilities for configuring the Linux ethernet bridge."
P,htop,"is a graphical and colorful system monitor."
P,qbittorrent,"An advanced BitTorrent client programmed in C++, based on Qt toolkit and libtorrent-rasterbar."
A,task-spooler,"Queue up tasks from the shell for batch execution."
A,simple-mtpfs,"A FUSE filesystem that supports reading/writing from MTP devices."
A,betterlockscreen,"A simple, minimal lockscreen."
A,slack-desktop,"Slack Desktop."
A,teams,"Microsoft Teams for Linux is your chat-centered workspace in Office 365."
A,skypeforlinux-stable-bin,"Skype for Linux - Stable/Release Version."
A,youtube-music-dekstop,"YouTube Music Desktop."
